PLT_CN,CONDID,MOG
30762445020004,1,0
30762445020004,2,1
30762447020004,1,2
30762448020004,2,2
30762449020004,1,1
30762450020004,1,2
30762453020004,1,2
30762454020004,1,1
30762455020004,1,1
30762456020004,1,0
30762517020004,1,2
30762545020004,1,0
30762545020004,2,0
30762546020004,1,0
30762548020004,1,2
30762549020004,1,2
30762550020004,1,0
30762628020004,1,1
30762629020004,1,1
30762630020004,1,2
30762631020004,1,2
30762631020004,2,0
30762632020004,1,2
30762632020004,2,0
30762649020004,1,2
30762650020004,1,0
30762652020004,1,0
30762663020004,1,0
30762664020004,1,2
30762665020004,2,0
30762761020004,1,2
30762776020004,2,2
30762806020004,1,1
30762815020004,1,0
30762816020004,1,2
30762817020004,1,0
30762819020004,1,2
30762820020004,1,1
30762821020004,1,2
30762829020004,1,2
30762832020004,1,2
30762834020004,1,1
30762835020004,1,1
30762840020004,1,1
30762842020004,1,0
30762842020004,2,1
30762846020004,1,2
30762846020004,2,1
30762847020004,1,0
30762852020004,1,2
30762853020004,1,2
30762854020004,1,0
