CN,HABTYPCD,PUB_CD,SCIENTIFIC_NAME,COMMON_NAME,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.97237E+14,CFC311,647,ABAM-ABGR/MAST4,Pacific silver fir-grand fir/starry false Solomon's seal,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFF152,647,ABAM/TITR,Pacific silver fir/coolwort foamflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS151,647,ABAM/MANE2,Pacific silver fir/dwarf Oregon grape,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS251,647,ABAM/VAME/XETE,Pacific silver fir/blue huckleberry/beargrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS254,647,ABAM/MEFE,Pacific silver fir/fool's huckleberry,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CFS255,647,ABAM/VAAL-GASH,Pacific silver fir/Alaska huckleberry-salal,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS256,647,ABAM/VAME/CLUN2,Pacific silver fir/blue huckleberry/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CFS351,647,ABAM/OPHO,Pacific silver fir/devil's club,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CHF110,647,TSHE/OXOR-NWO Cascades,Western hemlock/Oregon oxalis-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF150,647,TSHE/POMU-NWO Cascades,Western hemlock/sword fern-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF220,647,TSHE/ACTR-DRY-NWO Cascades,Western hemlock/vanilla leaf-DRY-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF221,647,TSHE/ACTR-NWO Cascades,Western hemlock/vanilla leaf-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHF321,647,TSHE/LIBO3,Western hemlock/twinflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS110,647,TSHE/GASH-NWO Cascades,Western hemlock/salal-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS158,647,TSHE/MANE2-DRY-NWO Cascades,Western hemlock/dwarf Oregon grape-DRY-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS159,647,TSHE/MANE2-GASH-DRY-NWO Cascades,Western hemlock/dwarf Oregon grape-salal-DRY-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS160,647,TSHE/MANE2-GASH-NWO Cascades,Western hemlock/dwarf Oregon grape-salal-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS161,647,TSHE/MANE2-NWO Cascades,Western hemlock/dwarf Oregon grape-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS162,647,TSHE/MANE2/ACTR,Western hemlock/dwarf Oregon grape/vanilla leaf,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS163,647,TSHE/MANE2/OXOR-NWO Cascades,Western hemlock/dwarf Oregon grape/Oregon oxalis-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS164,647,TSHE/MANE2/POMU-NWO Cascades,Western hemlock/dwarf Oregon grape/swordfern-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS228,647,TSHE/ACCI/POMU-NWO Cascades,Western hemlock/vine maple/swordfern-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS232,647,TSHE/ACCI-GASH/POMU-NWO Cascades,Western hemlock/vine maple-salal/swordfern-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS350,647,TSHE/RHMA3-GASH-NWO Cascades,Western hemlock/rhododendron-salal-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS356,647,TSHE/RHMA3-MANE2-NWO Cascades,Western hemlock/rhododendron-dwarf Oregon grape-NWO Cascades,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS357,647,TSHE/RHMA3/XETE,Western hemlock/rhododendron/bear grass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CHS525,647,TSHE/OPHO/MAST4,Western hemlock/devil's club/starry false Solomon's seal,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:14,67572
1.97237E+14,CMG212,647,TSME/LUDI,Mountain hemlock/forked woodrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS117,647,TSME/ARNE,Mountain hemlock/pinemat manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS118,647,TSME/VASC-NWO,Mountain hemlock/grouse huckleberry-NWO,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS224,647,TSME/VAME/XETE-NWO,Mountain hemlock/big huckleberry/beargrass-NWO,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS225,647,TSME/MEFE-NOW,Mountain hemlock/fool's huckleberry-NWO,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:14,67572
1.97237E+14,CMS226,647,TSME/RHAL2/CLUN2,Mountain hemlock/Cascades azalea/queencup beadlily,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS227,647,TSME/RHAL2/XETE,Mountain hemlock/Cascades azalea/beargrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS228,647,TSME/VAME-SOSI2,Mountain hemlock/big huckleberry-Sitka mountain ash,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS229,647,TSME/VAME/CLUN2-NWO,Mountain hemlock/big huckleberry/queencup beadlily-NOW,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CMS613,647,TSME/RHMA3-NWO,Mountain hemlock/western rhododendron-NWO,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWF211,647,ABGR/CHUM,Grand fir/prince's pine,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:14,67572
1.97237E+14,CWS521,647,ABGR/ARUV,Grand fir/kinnikinnick,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWS522,647,ABGR/MANE2,Grand fir/dwarf Oregon grape,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWS527,647,ABGR/ACCI/POMU,Grand fir/vine maple/sword fern,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWS528,647,ABGR/MANE2-GASH,Grand fir/dwarf Oregon grape-salal,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CWS529,647,ABGR/HODI/POMU,Grand fir/oceanspray/swordfern,Y,RWANEK,5/6/2013 9:20,20004,,,
